imdb_id,variant_index,movie_name,year_in_title,origin_split,script_char_len,scenes,unique_characters,dialogue_lines,decision,notes
tt0066026,1,M*A*S*H_1970,1970,train,256088,158,65,1048,keep,
tt0066026,2,MASH_1970,1970,train,255631,157,65,1046,remove,
tt0076759,1,Star Wars_1977,1977,train,308467,487,68,1016,remove,
tt0076759,2,Star Wars: Episode IV - A New Hope_1977,1977,train,306230,479,73,1027,keep,
tt0082971,1,Indiana Jones and the Raiders of the Lost Ark_1981,1981,train,212926,139,31,515,keep,
tt0082971,2,Raiders of the Lost Ark_1981,1981,train,210507,139,41,525,remove,
tt0083972,1,Friday the 13th Part III_1982,1982,train,151784,107,20,429,remove,
tt0083972,2,Friday the 13th: Part 3_1982,1982,train,149919,108,25,439,keep,
tt0109836,1,Mary Shelley's Frankenstein_1994,1994,test,253890,178,58,777,keep,
tt0109836,2,Frankenstein_1994,1994,train,249586,178,137,783,remove,
tt0111686,1,New Nightmare_1994,1994,train,185262,99,46,680,keep,
tt0111686,2,Wes Craven's New Nightmare_1994,1994,train,173278,95,61,674,remove,
tt0113820,1,Mighty Morphin Power Rangers: The Movie_1995,1995,test,170169,124,45,773,keep,
tt0113820,2,Mighty Morphin Power Rangers_1995,1995,test,166707,123,85,755,remove,
tt0119280,1,Mrs. Brown_1997,1997,train,167505,119,31,749,keep,
tt0119280,2,Mrs Brown_1997,1997,train,159613,119,58,698,remove,
tt0166924,1,Mulholland Drive_2001,2001,train,176734,100,59,684,keep,
tt0166924,2,Mulholland Dr._2001,2001,train,139746,49,99,503,remove,
tt0175526,1,Cherry Falls_2000,2000,train,190021,292,70,719,keep,
tt0175526,2,Cherry Falls_1999,1999,test,185958,293,76,706,remove,
tt1022603,1,(500) Days of Summer_2009,2009,train,170077,23,32,1050,keep,
tt1022603,2,500 Days of Summer_2009,2009,test,138260,143,26,1070,remove,
tt5536736,1,The Meyerowitz Stories (New and Selected)_2017,2017,train,268643,90,61,1740,keep,
tt5536736,2,The Meyerowitz Stories_2017,2017,train,268643,90,61,1740,remove,
