primary_genre_bucketed,n_films,budget_median_M,revenue_median_M,rating_mean,roi_median
Drama,431,18.0,40.26,7.09,2.55
Comedy,312,18.0,52.5,6.72,3.01
Action,239,55.0,139.2,6.92,2.52
Horror,147,11.0,47.97,6.63,4.03
Adventure,121,65.0,263.92,7.17,3.23
Crime,101,18.0,45.28,7.15,2.57
Thriller,83,32.0,78.87,6.88,2.48
Science Fiction,66,40.0,92.69,6.94,2.46
Fantasy,47,54.0,151.93,7.0,3.15
Animation,45,80.0,348.84,7.21,3.84
Romance,39,20.0,72.28,6.7,3.22
Mystery,26,22.12,35.48,6.87,2.96
Family,18,72.0,155.95,6.96,3.02
Music,12,33.5,54.17,7.17,2.97
History,9,20.0,105.71,7.27,3.34
War,9,66.0,211.82,7.09,3.51
Other,8,24.0,50.62,7.43,2.7
