feature_group,target,metric,task,phase_3a_floor,phase_3b_actual,lift,predicted_lift_low,predicted_lift_high,in_predicted_band,ci_lo,ci_hi,model_family
lexical,log_roi,r2,regression,0.0524,0.0365,-0.0159,0.01,0.025,False,0.0138,0.0601,linear
lexical,log_roi,mae,regression,0.9484,0.9545,0.0061,,,,0.902,1.0093,linear
lexical,log_roi,rmse,regression,1.3385,1.3497,0.0112,,,,1.2315,1.4846,linear
lexical,roi_gt_1,auc_roc,classification,0.5581,0.5653,0.0072,0.0,0.01,True,0.5268,0.6054,linear
lexical,roi_gt_1,pr_auc,classification,0.8463,0.8439,-0.0024,,,,0.8188,0.8742,linear
lexical,roi_gt_2,auc_roc,classification,0.6017,0.5998,-0.0019,0.015,0.035,False,0.5703,0.6332,linear
lexical,roi_gt_2,pr_auc,classification,0.7386,0.7288,-0.0098,,,,0.6981,0.7639,linear
lexical,log_roi,r2,regression,0.0688,0.0598,-0.0089,0.01,0.025,,0.0257,0.0899,histgb
lexical,log_roi,mae,regression,0.9432,0.9432,0.0,,,,0.8893,0.995,histgb
lexical,log_roi,rmse,regression,1.3269,1.3332,0.0064,,,,1.2167,1.4577,histgb
lexical,roi_gt_1,auc_roc,classification,0.5524,0.5111,-0.0413,0.0,0.01,,0.4708,0.5495,histgb
lexical,roi_gt_1,pr_auc,classification,0.8427,0.8163,-0.0264,,,,0.7894,0.8472,histgb
lexical,roi_gt_2,auc_roc,classification,0.6098,0.5855,-0.0243,0.015,0.035,,0.5529,0.6186,histgb
lexical,roi_gt_2,pr_auc,classification,0.731,0.7091,-0.0219,,,,0.6743,0.7477,histgb
lexical,log_roi,r2,regression,0.0161,-0.006,-0.0221,0.01,0.025,,-0.0369,0.0208,knn
lexical,log_roi,mae,regression,0.9719,0.9793,0.0074,,,,0.9258,1.0323,knn
lexical,log_roi,rmse,regression,1.3639,1.3791,0.0152,,,,1.2611,1.5108,knn
lexical,roi_gt_1,auc_roc,classification,0.5265,0.4942,-0.0323,0.0,0.01,,0.4562,0.5358,knn
lexical,roi_gt_1,pr_auc,classification,0.8288,0.815,-0.0138,,,,0.7885,0.8469,knn
lexical,roi_gt_2,auc_roc,classification,0.5782,0.548,-0.0301,0.015,0.035,,0.5162,0.5811,knn
lexical,roi_gt_2,pr_auc,classification,0.7252,0.7027,-0.0225,,,,0.6725,0.7405,knn
lexical,log_roi,r2,regression,0.0255,0.0342,0.0087,0.01,0.025,,-0.001,0.0661,svm
lexical,log_roi,mae,regression,0.9536,0.9472,-0.0064,,,,0.8944,0.9991,svm
lexical,log_roi,rmse,regression,1.3573,1.3513,-0.0061,,,,1.2336,1.4793,svm
lexical,roi_gt_1,auc_roc,classification,0.5043,0.5186,0.0143,0.0,0.01,,0.4787,0.5596,svm
lexical,roi_gt_1,pr_auc,classification,0.8314,0.8196,-0.0118,,,,0.7909,0.8514,svm
lexical,roi_gt_2,auc_roc,classification,0.5337,0.5651,0.0314,0.015,0.035,,0.5328,0.5997,svm
lexical,roi_gt_2,pr_auc,classification,0.6763,0.6899,0.0136,,,,0.6536,0.7273,svm
