feature_group,model_family,eval_set,target,metric,task,phase_3a_floor,phase_3c_actual,lift,predicted_lift_low,predicted_lift_high,in_predicted_band,ci_lo,ci_hi
all_five,linear,train,log_roi,mse,regression,1.7418,1.6704,-0.0715,,,,1.3755,2.0402
all_five,linear,train,log_roi,rmse,regression,1.3198,1.2924,-0.0274,-0.025,-0.005,,1.1728,1.4283
all_five,linear,train,log_roi,mae,regression,0.9364,0.9096,-0.0268,,,,0.8597,0.9605
all_five,linear,train,log_roi,cvrmse,regression,0.9795,0.9592,-0.0203,,,,0.8861,1.0406
all_five,linear,oof,log_roi,mse,regression,1.7915,1.8107,0.0192,,,,1.5002,2.2048
all_five,linear,oof,log_roi,rmse,regression,1.3385,1.3456,0.0072,-0.025,-0.005,False,1.2248,1.4849
all_five,linear,oof,log_roi,mae,regression,0.9484,0.948,-0.0004,,,,0.896,1.0011
all_five,linear,oof,log_roi,cvrmse,regression,0.9934,0.9987,0.0053,,,,0.9239,1.0814
all_five,linear,train,roi_gt_1,auc_roc,classification,0.6351,0.7616,0.1265,0.02,0.04,,0.727,0.7992
all_five,linear,train,roi_gt_1,pr_auc,classification,0.8821,0.9244,0.0424,,,,0.907,0.9416
all_five,linear,train,roi_gt_1,log_loss,classification,0.4666,0.4174,-0.0492,,,,0.3843,0.449
all_five,linear,train,roi_gt_1,f1,classification,0.8952,0.8937,-0.0015,,,,0.8796,0.9081
all_five,linear,oof,roi_gt_1,auc_roc,classification,0.5581,0.5526,-0.0054,0.02,0.04,False,0.5118,0.5953
all_five,linear,oof,roi_gt_1,pr_auc,classification,0.8463,0.8325,-0.0139,,,,0.805,0.8631
all_five,linear,oof,roi_gt_1,log_loss,classification,0.4928,0.6406,0.1478,,,,0.5546,0.734
all_five,linear,oof,roi_gt_1,f1,classification,0.8934,0.8679,-0.0255,,,,0.8541,0.8832
all_five,linear,train,roi_gt_2,auc_roc,classification,0.6401,0.6984,0.0583,0.01,0.03,,0.6684,0.7299
all_five,linear,train,roi_gt_2,pr_auc,classification,0.7647,0.8027,0.038,,,,0.7741,0.832
all_five,linear,train,roi_gt_2,log_loss,classification,0.6205,0.6037,-0.0169,,,,0.586,0.6202
all_five,linear,train,roi_gt_2,f1,classification,0.7756,0.7916,0.016,,,,0.7728,0.8119
all_five,linear,oof,roi_gt_2,auc_roc,classification,0.6017,0.6123,0.0107,0.01,0.03,True,0.5789,0.6436
all_five,linear,oof,roi_gt_2,pr_auc,classification,0.7386,0.7365,-0.0021,,,,0.7018,0.7712
all_five,linear,oof,roi_gt_2,log_loss,classification,0.6352,0.6344,-0.0008,,,,0.6177,0.6507
all_five,linear,oof,roi_gt_2,f1,classification,0.7769,0.7827,0.0059,,,,0.7631,0.8018
all_five,histgb,train,log_roi,mse,regression,1.4509,1.1139,-0.337,,,,0.9324,1.3298
