primary_genre_bucketed,n,n_pos,mean_abs_error,accuracy
Drama,299,226,0.6349448376768144,0.5183946488294314
Comedy,219,174,0.6364029255601275,0.4931506849315068
Action,168,131,0.5947341543394155,0.5416666666666666
Horror,103,95,0.517282263623771,0.6601941747572816
Adventure,86,72,0.4751708648113883,0.7209302325581395
Crime,73,59,0.6237728782167158,0.5205479452054794
Thriller,59,45,0.6628648033840834,0.4915254237288136
Science Fiction,45,38,0.46563469784335215,0.6888888888888889
Animation,32,29,0.46502868044423035,0.78125
Fantasy,32,27,0.6013672387040272,0.625
Romance,27,24,0.5870175192325358,0.5925925925925926
Mystery,19,14,0.6544108210818147,0.5263157894736842
Family,12,11,0.5477958381525817,0.5833333333333334
Music,8,8,0.6397917308619232,0.25
History,6,6,0.6576064921767613,0.3333333333333333
War,6,6,0.3488950441745942,0.5
Other,5,5,0.8150733400429377,0.2
