feature,importance,signed_coef,method,target,family,matrix
release_year_parsed,0.2248435655807296,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_18_proportion,0.043826790147680275,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_19_proportion,0.03694269814871756,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Romance,0.026485215090787155,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_dominant_id,0.024120070573966538,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_max_betweenness_centrality,0.02402738238796656,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_11,0.022662025764726524,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_06,0.02136637962640691,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_lead_role_count,0.018534211679378822,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_05,0.018440592741551496,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_13,0.01759586934614226,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_War,0.016073868073583453,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Action,0.01598264928660968,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_04,0.014980256971497682,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_17_proportion,0.0136251398286246,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_mean_clustering_coefficient,0.013095195288098866,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_00,0.012937435246841725,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_top1_dialogue_share,0.012739535749209966,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Family,0.012587110478554353,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_top1_eigenvector_centrality,0.01255794471371545,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_01,0.011603896778468062,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_01_proportion,0.01158047599676178,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_09,0.010881060082605785,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_14,0.010661407401356616,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_12,0.010518486610871975,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_10_proportion,0.010510474665346523,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_n_significant_characters,0.010462318403916177,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_03,0.010385583070438848,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_top3_dialogue_share,0.010321035130320023,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_density,0.009899906523060475,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_08,0.009831341336223222,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_02_proportion,0.009728424731943868,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_14_proportion,0.00964650408144775,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_n_components,0.009249491613760754,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Drama,0.009003870702399965,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_07_proportion,0.008836593327282904,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_dialogue_gini,0.0087495424544287,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_03_proportion,0.008514232592129219,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_10,0.008474840632405193,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_02,0.008342075555433714,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Other,0.00814425069885168,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_12_proportion,0.008131245726724736,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Thriller,0.008057048434044036,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_08_proportion,0.008052993270960394,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_07,0.008029921203644031,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_total_action_chars,0.007925631210317797,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_11_proportion,0.007455477286460699,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Horror,0.007390185101643656,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_modularity,0.007154266866276843,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_concentration_entropy,0.006970970132667952,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_n_dialogue_lines,0.006924863189738661,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Animation,0.006869277996608051,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
network_diameter,0.006858946918409954,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_n_unique_characters,0.0067705342231045495,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_13_proportion,0.00668466221601535,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_15_proportion,0.006638111982163363,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Crime,0.006583252365505415,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_04_proportion,0.00632605521044597,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_00_proportion,0.006254006883993257,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Comedy,0.005815734644880032,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_n_scenes,0.005160124542183853,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_History,0.005120017936887181,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_total_dialogue_chars,0.005114544439468807,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Adventure,0.0050977051321910785,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Science Fiction,0.005002357078415661,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Fantasy,0.004853000193919181,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Mystery,0.003693357564515548,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_runtime,0.0036626335094717935,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
dialogue_to_total_text_ratio,0.0035558020507348077,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_05_proportion,0.0035503093834071244,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_20,0.0032436849524343707,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
genre_Music,0.002977257230889103,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
log_parse_warning_count,0.0015765828533641666,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_24,0.0014922830293385653,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_16_proportion,0.0007495050250143363,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_19,0.0005881130752939835,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_06_proportion,0.0004210848688089746,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_18,0.000317918533903086,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
topic_09_proportion,0.00014692353410374339,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_15,1.3861087807166941e-05,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_26,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_30,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_29,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_28,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_27,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_16,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_25,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_23,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_22,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_21,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_17,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
embed_pc_31,0.0,,feature_importances_,log_roi,random_forest,standalone_positive_union_mpnet
