feature,importance,signed_coef,importance_std,method,target,family,matrix
release_year_parsed,0.011249643773154839,,0.002874920583317062,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_lead_role_count,0.01058884297520667,,0.0023898713206190153,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_modularity,0.009383015104018278,,0.0015643753722997726,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_14,0.009010758050726774,,0.0030728199734664386,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_10_proportion,0.005888429752066137,,0.001142877652764023,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_18_proportion,0.005797591906526156,,0.002338490868142918,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_31,0.005605229410088408,,0.001216399927494298,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_21,0.0051225420347677745,,0.001507689880785749,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_04_proportion,0.005037047591906607,,0.0006632806111070552,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_15,0.004980051296665821,,0.002262870576049367,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_29,0.0045775149615275845,,0.0036112688606449047,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_03_proportion,0.004431461954972971,,0.0011810894315717705,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_19_proportion,0.004388714733542376,,0.0009593090394496059,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_total_dialogue_chars,0.004272941008834496,,0.0015796049915334919,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_15_proportion,0.004135793673411259,,0.0013397350194540867,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_00_proportion,0.0038632801367911806,,0.0028085775950372283,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_01,0.00382943858649194,,0.0014723420484671563,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_19,0.0035854231974922213,,0.001570836187931747,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_30,0.0031472641778285014,,0.0022369663191301376,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_28,0.003102735822171643,,0.0012059423108669858,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_10,0.003058207466514762,,0.002706762088079927,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_n_dialogue_lines,0.002940652607580563,,0.0021603689743649973,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_22,0.002726916500427512,,0.0013497766099182776,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_26,0.0026806070105444,,0.001123025963517599,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_13_proportion,0.002541678540894865,,0.0024116327216989353,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_16_proportion,0.0024472784269023106,,0.002083656051145766,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_dialogue_gini,0.0023101310914791172,,0.000893165559442453,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_mean_clustering_coefficient,0.0023047876888003136,,0.000923452396412845,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_08_proportion,0.0022762895411798877,,0.0014804815117213158,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_runtime,0.002085708178968437,,0.0014320020105084625,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_04,0.0019895269307495635,,0.0016636985503192686,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_23,0.001982402393844429,,0.0007099132714283634,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_02_proportion,0.0019628099173555013,,0.0007153333084908714,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_n_scenes,0.0019378740381875814,,0.0007099467864122636,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_01_proportion,0.0019200626959247958,,0.0011725167514756313,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_25,0.0017348247363921931,,0.0011979819298699329,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_09,0.001718794528355716,,0.0008937052859138227,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_20,0.0016493302935309483,,0.000942056692850705,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_parse_warning_count,0.0016439868908521894,,0.0009128395449654242,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_14_proportion,0.0016315189512682293,,0.000905201783455952,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_13,0.0015050584212026985,,0.001073042832680559,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_n_components,0.0014373753206042173,,0.0008627035370325846,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_08,0.0014302507836991385,,0.0011921909882069916,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_00,0.0014160017098889255,,0.0008388839672195304,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_05,0.001403533770305021,,0.003155251003763338,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_17_proportion,0.0014017526360787346,,0.0009095668470675954,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Horror,0.001248575092619031,,0.0011406061507841393,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_09_proportion,0.0012325448845825649,,0.0011340329296706492,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_11,0.0012058278711884252,,0.001471847464285301,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_07_proportion,0.001204046736962161,,0.0009267787548043129,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_concentration_entropy,0.001177329723568077,,0.0007466947200907825,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_03,0.0011684240524366563,,0.0015153087753729286,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_11_proportion,0.001106084354517023,,0.000489824865757882,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_12_proportion,0.0011007409518382194,,0.0008378452371258617,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_dominant_id,0.0010526503277287658,,0.0012304389275902884,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_diameter,0.0010134653747507216,,0.000507072991994483,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_05_proportion,0.0009119407238530553,,0.000621654120315194,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_02,0.000872755770875,,0.0007419017383748293,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_12,0.0008549444286122144,,0.0006668676911689959,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_n_significant_characters,0.0008104160729553334,,0.0003683332179974754,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_18,0.0007783556568823569,,0.0009871099875112845,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_density,0.0007391707039042905,,0.0005991207103674672,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
topic_06_proportion,0.0007231404958678578,,0.001240165787689104,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_06,0.0006750498717584153,,0.000925588469655894,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_24,0.0006679253348532809,,0.0014174796161012047,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
dialogue_to_total_text_ratio,0.0006625819321744886,,0.0005802125049775525,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_27,0.0006429894556854388,,0.0006945715559721255,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_07,0.0005343402678826603,,0.0009603270566192928,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_total_action_chars,0.0005183100598461831,,0.0013020675958251818,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_max_betweenness_centrality,0.0005058421202622454,,0.0008953349147847367,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_17,0.0004488458250214267,,0.0006551475595652706,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Drama,0.0004025363351382705,,0.0004832227331908597,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
embed_pc_16,0.0003758193217441641,,0.00048047395683550154,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
log_n_unique_characters,0.00022442291251076885,,0.001148968259512918,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Adventure,0.000170988885722434,,3.303511860749535e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Crime,0.0001300227985181923,,6.473632746291155e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_top1_dialogue_share,8.015104018246343e-05,,0.0006931450384638762,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Fantasy,4.096608720434158e-05,,1.6030208036473445e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Animation,3.562268452561579e-05,,0.00010324434843394842,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Thriller,1.959247648907203e-05,,4.9392364718798725e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Other,1.6030208036477145e-05,,5.343402678825715e-06,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Family,8.905671131387295e-06,,4.729238403871204e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_War,3.5622684525393746e-06,,7.12453690507875e-06,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Mystery,0.0,,2.252976389404591e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Romance,-3.5622684525504766e-06,,3.166213457293859e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_top3_dialogue_share,-8.727557708739785e-05,,0.0006272754204525928,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Science Fiction,-0.00012111712738661628,,9.282426774576338e-05,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Music,-0.00014605300655456954,,0.0005227439306914382,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_History,-0.00016030208036476034,,0.00046915224285807216,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
network_top1_eigenvector_centrality,-0.00024579652322590515,,0.0006741445989512196,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Comedy,-0.0002582644628098318,,0.0005758465075636206,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
genre_Action,-0.0008246651467653465,,0.0004502466357170081,permutation (n_repeats=10),roi_gt_1,svm_rbf,standalone_positive_union_mpnet
