feature,importance,signed_coef,method,target,family,matrix
release_year_parsed,0.022100287,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_06_proportion,0.02038653,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_16,0.017188927,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_05,0.016681295,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
log_n_unique_characters,0.015915964,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_lead_role_count,0.01584254,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Action,0.015342882,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Other,0.015220837,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_War,0.01492135,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_11,0.014754904,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_10_proportion,0.014707615,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_14,0.014626549,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_02_proportion,0.01462612,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_08_proportion,0.0145965265,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_15_proportion,0.014474025,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Horror,0.014461023,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_12,0.014298705,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Romance,0.014198103,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_modularity,0.014141047,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_20,0.014125743,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_10,0.014082502,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_03,0.014071504,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Drama,0.013983718,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Crime,0.013974893,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_top1_eigenvector_centrality,0.013936739,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_mean_clustering_coefficient,0.013757146,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_17_proportion,0.013755299,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Mystery,0.01368083,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_18_proportion,0.013624459,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_dominant_id,0.01358965,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_00,0.0135496715,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_n_significant_characters,0.013481448,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_01,0.013331923,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Science Fiction,0.013266532,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
log_total_dialogue_chars,0.01316942,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_11_proportion,0.013090459,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
dialogue_to_total_text_ratio,0.013021931,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
log_runtime,0.013001807,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
network_top1_dialogue_share,0.012892349,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
genre_Music,0.012749354,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_01_proportion,0.0126164,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
embed_pc_24,0.012458252,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
topic_19_proportion,0.012298735,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
log_parse_warning_count,0.012232406,,feature_importances_,roi_gt_2,xgboost,standalone_positive_union_mpnet
