target,task,encoder,matrix,metric,v1,v2,delta_v2_minus_v1,pct_change
log_roi,regression,minilm,all_five,rmse,1.3153931786495456,1.3048509368156187,-0.010542241833926935,-0.8014517640079429
log_roi,regression,minilm,standalone_positive_union,rmse,1.3163751338784806,1.3028805789141198,-0.013494554964360805,-1.0251298901857362
log_roi,regression,mpnet,all_five_mpnet,rmse,1.3118352543731175,1.3050162711683653,-0.006818983204752271,-0.5198048445504566
log_roi,regression,mpnet,standalone_positive_union_mpnet,rmse,1.3102340475879282,1.3037565612323163,-0.00647748635561185,-0.4943762809046644
roi_gt_1,classification,minilm,all_five,auc_roc,0.5865574213298519,0.6151076873806174,0.028550266050765494,4.8674290039730295
roi_gt_1,classification,minilm,standalone_positive_union,auc_roc,0.6159231080898573,0.6276006816960048,0.011677573606147518,1.8959466616478808
roi_gt_1,classification,mpnet,all_five_mpnet,auc_roc,0.6152523297168324,0.6132375985085041,-0.002014731208328291,-0.32746421443955576
roi_gt_1,classification,mpnet,standalone_positive_union_mpnet,auc_roc,0.635326160356548,0.6171836575964497,-0.018142502760098322,-2.8556202927196743
roi_gt_2,classification,minilm,all_five,auc_roc,0.6200243198054416,0.6040575071625842,-0.015966812642857375,-2.5751913486018787
roi_gt_2,classification,minilm,standalone_positive_union,auc_roc,0.6345614835081319,0.6048616226454805,-0.029699860862651417,-4.680375603394279
roi_gt_2,classification,mpnet,all_five_mpnet,auc_roc,0.6397568019455844,0.6130536732193805,-0.02670312872620384,-4.173949951762314
roi_gt_2,classification,mpnet,standalone_positive_union_mpnet,auc_roc,0.6520261437908497,0.6136632126101191,-0.03836293118073053,-5.883649228800893
