target,conformity_score,fold,level,empirical_coverage,n_eval
log_roi,absolute,0,0.5,0.4423076923076923,52
log_roi,absolute,0,0.8,0.8269230769230769,52
log_roi,absolute,0,0.9,0.9230769230769231,52
log_roi,absolute,0,0.95,0.9807692307692307,52
log_roi,absolute,1,0.5,0.4807692307692308,52
log_roi,absolute,1,0.8,0.8461538461538461,52
log_roi,absolute,1,0.9,0.9423076923076923,52
log_roi,absolute,1,0.95,1.0,52
log_roi,absolute,2,0.5,0.49019607843137253,51
log_roi,absolute,2,0.8,0.7254901960784313,51
log_roi,absolute,2,0.9,0.8431372549019608,51
log_roi,absolute,2,0.95,0.9803921568627451,51
log_roi,absolute,3,0.5,0.5686274509803921,51
log_roi,absolute,3,0.8,0.9215686274509803,51
log_roi,absolute,3,0.9,0.9411764705882353,51
log_roi,absolute,3,0.95,0.9411764705882353,51
log_roi,absolute,4,0.5,0.5098039215686274,51
log_roi,absolute,4,0.8,0.7450980392156863,51
log_roi,absolute,4,0.9,0.8627450980392157,51
log_roi,absolute,4,0.95,0.9019607843137255,51
roi_gt_1,lac,0,0.5,0.5769230769230769,52
roi_gt_1,lac,0,0.8,0.8653846153846154,52
roi_gt_1,lac,0,0.9,0.8653846153846154,52
roi_gt_1,lac,0,0.95,0.8846153846153846,52
roi_gt_1,lac,1,0.5,0.5769230769230769,52
roi_gt_1,lac,1,0.8,0.8461538461538461,52
roi_gt_1,lac,1,0.9,0.9615384615384616,52
roi_gt_1,lac,1,0.95,1.0,52
roi_gt_1,lac,2,0.5,0.5882352941176471,51
roi_gt_1,lac,2,0.8,0.9019607843137255,51
roi_gt_1,lac,2,0.9,0.9215686274509803,51
roi_gt_1,lac,2,0.95,0.9803921568627451,51
roi_gt_1,lac,3,0.5,0.6078431372549019,51
roi_gt_1,lac,3,0.8,0.9215686274509803,51
roi_gt_1,lac,3,0.9,0.9607843137254902,51
roi_gt_1,lac,3,0.95,0.9803921568627451,51
roi_gt_1,lac,4,0.5,0.6078431372549019,51
roi_gt_1,lac,4,0.8,0.8235294117647058,51
roi_gt_1,lac,4,0.9,0.9019607843137255,51
roi_gt_1,lac,4,0.95,0.9803921568627451,51
roi_gt_2,lac,0,0.5,0.6153846153846154,52
roi_gt_2,lac,0,0.8,0.9423076923076923,52
roi_gt_2,lac,0,0.9,1.0,52
roi_gt_2,lac,0,0.95,1.0,52
roi_gt_2,lac,1,0.5,0.5961538461538461,52
roi_gt_2,lac,1,0.8,0.8269230769230769,52
roi_gt_2,lac,1,0.9,0.8269230769230769,52
roi_gt_2,lac,1,0.95,0.9038461538461539,52
roi_gt_2,lac,2,0.5,0.5882352941176471,51
roi_gt_2,lac,2,0.8,0.9215686274509803,51
roi_gt_2,lac,2,0.9,1.0,51
roi_gt_2,lac,2,0.95,1.0,51
roi_gt_2,lac,3,0.5,0.6078431372549019,51
roi_gt_2,lac,3,0.8,0.8823529411764706,51
roi_gt_2,lac,3,0.9,0.8823529411764706,51
roi_gt_2,lac,3,0.95,0.8823529411764706,51
roi_gt_2,lac,4,0.5,0.5882352941176471,51
roi_gt_2,lac,4,0.8,0.8235294117647058,51
roi_gt_2,lac,4,0.9,0.8431372549019608,51
roi_gt_2,lac,4,0.95,0.9411764705882353,51
