genre,n,n_pos,default_p_greenlight,default_p_pass,default_p_refer,per_genre_p_greenlight,per_genre_p_pass,per_genre_p_refer
Action,35,20,0.0,0.0,1.0,0.0,0.0,1.0
Adventure,18,14,0.0,0.0,1.0,0.0,0.0,1.0
Animation,6,3,0.0,0.0,1.0,0.0,0.0,1.0
Comedy,47,28,0.02127659574468085,0.0,0.9787234042553191,0.02127659574468085,0.0,0.9787234042553191
Crime,14,9,0.0,0.0,1.0,0.0,0.0,1.0
Drama,66,42,0.0,0.0,1.0,0.0,0.0,1.0
Family,3,1,0.0,0.0,1.0,0.0,0.0,1.0
Fantasy,7,6,0.0,0.0,1.0,0.0,0.0,1.0
History,1,1,0.0,0.0,1.0,0.0,0.0,1.0
Horror,22,14,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091
Music,2,0,0.0,0.0,1.0,0.0,0.0,1.0
Mystery,4,1,0.0,0.0,1.0,0.0,0.0,1.0
Other,2,1,0.0,0.0,1.0,0.0,0.0,1.0
Romance,6,4,0.0,0.0,1.0,0.0,0.0,1.0
Science Fiction,11,7,0.0,0.0,1.0,0.0,0.0,1.0
Thriller,12,5,0.0,0.0,1.0,0.0,0.0,1.0
War,1,1,0.0,0.0,1.0,0.0,0.0,1.0
