cost_matrix_name,cost_greenlight_flop,cost_pass_hit,cost_refer_flop,total_cost_system,n_greenlight,n_pass,n_refer,p_greenlight,p_pass,p_refer,n_decisions
asymmetry_1to1_flop100M,100000000.0,100000000.0,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
default,50000000.0,100000000.0,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
asymmetry_1to4_flop25M,25000000.0,100000000.0,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
asymmetry_2to1_flop200M,200000000.0,100000000.0,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
refer_0K,50000000.0,100000000.0,0.0,0.0,0,0,257,0.0,0.0,1.0,257
refer_25K,50000000.0,100000000.0,25000.0,6350000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
refer_100K,50000000.0,100000000.0,100000.0,25400000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
refer_1M,50000000.0,100000000.0,1000000.0,254000000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
refer_25M,50000000.0,100000000.0,25000000.0,4950000000.0,245,0,12,0.953307392996109,0.0,0.04669260700389105,257
scale_0.1x,5000000.0,10000000.0,500.0,127000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
scale_1x_default,50000000.0,100000000.0,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
scale_10x,500000000.0,1000000000.0,50000.0,12700000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
per_genre_default,,,5000.0,1270000.0,3,0,254,0.011673151750972763,0.0,0.9883268482490273,257
