feature,mean_abs_shap,mean_signed_shap,rank
release_year_parsed,0.20921634607280237,-0.023131548489591383,1
topic_18_proportion,0.09081967216089454,0.01237212411958042,2
topic_dominant_id,0.04281178488030655,0.0013036223806223652,3
embed_pc_11,0.03241177794575432,-0.0027297488365186097,4
network_lead_role_count,0.03216892961906841,0.0032840171121725262,5
genre_Romance,0.0317045135466637,-0.02602884250703337,6
embed_pc_06,0.03088636260927971,-0.0018664055651272668,7
network_max_betweenness_centrality,0.030721141521617888,-0.002068456008913905,8
topic_19_proportion,0.02988184594298649,-0.006913629015424517,9
embed_pc_05,0.024484934499004612,0.00017108613308493997,10
embed_pc_13,0.021224060009055596,-0.003381931694734933,11
genre_Action,0.014940192454998062,-0.0021355011069085664,12
network_n_significant_characters,0.014688849035859914,0.0005166904058718013,13
embed_pc_04,0.014334577016471032,0.0006593924495714925,14
genre_Thriller,0.013546185013531527,0.007301675292343935,15
genre_War,0.013519657904892133,-4.0782806048804393e-05,16
topic_01_proportion,0.01325306835159706,0.0006958553694422944,17
embed_pc_01,0.011792356997945065,-0.0023931036903337356,18
embed_pc_00,0.011075376151783379,0.0010286296578477416,19
embed_pc_14,0.010984705546592113,-0.00094663339245512,20
topic_03_proportion,0.01075914167058422,-0.009866717263675691,21
genre_History,0.009870042456092668,-0.007543748538336599,22
topic_17_proportion,0.009851228939408459,0.0017274725927609396,23
embed_pc_03,0.009662435445644232,-0.0019454080986891595,24
topic_10_proportion,0.009630311759343464,-0.00020586833363255323,25
genre_Crime,0.009351080612245766,0.005613611150278265,26
network_mean_clustering_coefficient,0.009235384537918567,0.0013217335558427135,27
genre_Animation,0.008838174229359844,-0.003577164629337314,28
genre_Horror,0.008788794065583477,0.005690549004886722,29
network_top1_dialogue_share,0.008229103444374424,0.000906815263831514,30
topic_12_proportion,0.007449993880054266,0.00036162380419894424,31
genre_Drama,0.007396331674084078,-0.004761251000481566,32
genre_Family,0.007389079392766944,0.004767420469289423,33
embed_pc_20,0.0067228499932904815,5.250681868108093e-05,34
log_total_dialogue_chars,0.006403972402446028,0.0007481301252093211,35
network_dialogue_gini,0.0063848096691095845,-0.000569399003095312,36
topic_02_proportion,0.0058355914394919405,-0.00023086913021210477,37
topic_15_proportion,0.005814891172654154,-0.0005090551035828702,38
network_density,0.005773531374869118,-2.74967392082743e-05,39
network_n_components,0.005745562282960983,0.00014899441118476598,40
embed_pc_12,0.005670990809438478,-0.000530960589278136,41
genre_Science Fiction,0.005288549485131643,0.002204227578081347,42
network_diameter,0.005265683532267202,0.00021187849474526256,43
embed_pc_09,0.005168106416663485,-0.0005097035512561822,44
network_top1_eigenvector_centrality,0.005076636269377905,4.018079950409278e-05,45
embed_pc_02,0.0050503961521180364,0.00012453648979226942,46
network_modularity,0.004410487043457891,-0.0005383084103883693,47
topic_00_proportion,0.004326685627749232,-0.0017677784061866377,48
log_n_unique_characters,0.004241340121539814,0.0004460807436440174,49
network_top3_dialogue_share,0.004166844267180319,-0.00019329819467354495,50
topic_14_proportion,0.0040524697841509754,-0.0007727717089157237,51
topic_07_proportion,0.00391629420986894,8.777647669967838e-05,52
log_n_dialogue_lines,0.0037936097576618554,0.00018525975030296945,53
embed_pc_10,0.003775174854916575,0.0005159878040072586,54
log_runtime,0.0037293285051366917,0.0014897480584782723,55
genre_Other,0.003621406731649852,-0.0013466473364590577,56
log_total_action_chars,0.0034997711723472108,-0.0005527858615251152,57
embed_pc_07,0.003411487596239937,-0.00042570265530728784,58
genre_Fantasy,0.003311153565521668,0.0020616161211346766,59
embed_pc_08,0.0032689696216960046,-0.0004007390256342285,60
genre_Mystery,0.003183877251176269,-0.0017803766595840844,61
genre_Comedy,0.0031567553376128186,0.002392200960491129,62
topic_08_proportion,0.0031481971010942833,4.158560951237208e-05,63
topic_13_proportion,0.002933382082258285,-0.00033739004058155355,64
embed_pc_24,0.002890757318877955,-0.00010952755803647842,65
topic_concentration_entropy,0.0028651250078809407,0.00013018467147127202,66
genre_Adventure,0.002671789360982707,0.0005340908056841323,67
topic_11_proportion,0.0026294626420501704,0.0001024636105931973,68
topic_04_proportion,0.0024927379932045486,0.0006028360334799966,69
log_n_scenes,0.0024622498348419826,-0.0003744381487670573,70
log_parse_warning_count,0.0019273464904190915,-0.0001051806871009337,71
topic_05_proportion,0.0015044843160099564,-0.00020148107302208482,72
genre_Music,0.001331964530159412,-0.000625599216046801,73
dialogue_to_total_text_ratio,0.0010561045346536846,-0.00029676761295740415,74
topic_16_proportion,0.0009628909156643456,-8.812359049649192e-05,75
embed_pc_19,0.0006968177847438537,6.049827944419084e-05,76
embed_pc_18,0.0004016167365882934,2.3542945306171915e-05,77
topic_06_proportion,0.00032303414928199295,-3.632797678709413e-05,78
topic_09_proportion,0.00021216015252339645,-1.1402620003743479e-05,79
embed_pc_15,5.1221694549015404e-05,-2.3466112165112995e-05,80
embed_pc_26,0.0,0.0,81
embed_pc_30,0.0,0.0,82
embed_pc_29,0.0,0.0,83
embed_pc_28,0.0,0.0,84
embed_pc_27,0.0,0.0,85
embed_pc_21,0.0,0.0,86
embed_pc_25,0.0,0.0,87
embed_pc_23,0.0,0.0,88
embed_pc_22,0.0,0.0,89
embed_pc_17,0.0,0.0,90
embed_pc_16,0.0,0.0,91
embed_pc_31,0.0,0.0,92
