feature,mean_abs_shap,mean_signed_shap,rank
release_year_parsed,0.1823276,0.007424065,1
genre_Horror,0.1297496,0.082057044,2
network_lead_role_count,0.09569599,0.025524465,3
genre_Action,0.09053026,-0.0012682389,4
genre_Romance,0.089584604,-0.06472953,5
topic_15_proportion,0.06694442,-0.0011066021,6
embed_pc_05,0.06189019,0.0038068567,7
embed_pc_06,0.060790263,0.0028095408,8
network_max_betweenness_centrality,0.06023287,0.0013636905,9
network_top1_dialogue_share,0.059254773,0.0075503415,10
network_n_significant_characters,0.056494005,0.0072681666,11
embed_pc_12,0.053343643,0.011428776,12
topic_10_proportion,0.053019505,0.001810954,13
embed_pc_11,0.052684695,0.0038394001,14
genre_Science Fiction,0.05218492,0.02388442,15
topic_12_proportion,0.050802797,0.011777211,16
topic_01_proportion,0.050343435,0.018991964,17
network_top1_eigenvector_centrality,0.048871793,0.003734003,18
embed_pc_03,0.04863247,-0.0007593213,19
embed_pc_14,0.04744669,0.0034077298,20
topic_dominant_id,0.044025246,0.0051469337,21
embed_pc_13,0.042264566,0.00017917293,22
topic_17_proportion,0.037963428,0.013517533,23
topic_18_proportion,0.037459645,0.008638386,24
network_dialogue_gini,0.0350735,0.004781071,25
embed_pc_00,0.03433889,0.008176686,26
network_modularity,0.034097925,0.0008319094,27
genre_Other,0.031369504,0.025943266,28
genre_Thriller,0.030640068,0.016736757,29
network_mean_clustering_coefficient,0.02851549,0.0058337026,30
log_parse_warning_count,0.027875442,-0.0021269459,31
topic_11_proportion,0.027539505,0.01033402,32
topic_08_proportion,0.027015788,0.00010523553,33
embed_pc_01,0.025948655,0.008182076,34
embed_pc_04,0.025376782,0.00437477,35
topic_19_proportion,0.02424883,0.0014493092,36
genre_Drama,0.023409946,-0.013040948,37
topic_07_proportion,0.02292097,-0.001521735,38
log_total_dialogue_chars,0.022084074,0.0031293684,39
embed_pc_10,0.021767927,0.0051796227,40
topic_03_proportion,0.019596802,-0.018844,41
embed_pc_07,0.018814098,0.0050175777,42
genre_War,0.018668592,0.0021566395,43
log_n_scenes,0.017923163,-0.0027367405,44
genre_Crime,0.017895835,-0.0051062284,45
log_n_unique_characters,0.016064096,0.005918849,46
topic_06_proportion,0.015947392,0.0027660704,47
topic_13_proportion,0.015651947,0.001377045,48
embed_pc_08,0.014049709,-0.0029686394,49
log_total_action_chars,0.013819428,0.005903098,50
genre_Comedy,0.0137934,0.009883671,51
log_runtime,0.013192344,0.006141706,52
genre_Family,0.013163867,0.00053295464,53
network_diameter,0.012382436,0.0015685816,54
embed_pc_20,0.012195488,0.001271291,55
network_top3_dialogue_share,0.011991866,0.0040470827,56
embed_pc_02,0.010597376,0.0015546251,57
embed_pc_09,0.009628587,0.0015343918,58
topic_02_proportion,0.009501744,0.0007825424,59
topic_04_proportion,0.008816486,0.0036288581,60
network_n_components,0.008395553,0.002985392,61
network_density,0.008085738,0.0013973201,62
topic_concentration_entropy,0.0077914014,0.0021456291,63
topic_14_proportion,0.007724676,0.0010579559,64
dialogue_to_total_text_ratio,0.0069890646,-0.00011756956,65
embed_pc_24,0.006716656,-0.0015288446,66
genre_Animation,0.006646572,-2.5571664e-05,67
genre_Adventure,0.006327988,-0.0013298147,68
genre_History,0.00628641,-0.003974108,69
genre_Mystery,0.0061254352,0.00012835523,70
topic_00_proportion,0.0061044847,-0.00038407618,71
genre_Music,0.006028661,0.0034879886,72
log_n_dialogue_lines,0.005228635,0.0031524953,73
topic_05_proportion,0.0032850467,0.00051757117,74
genre_Fantasy,0.0030935116,0.0024598425,75
embed_pc_16,0.00081039616,0.00013224877,76
topic_16_proportion,0.00073803455,-0.00025008403,77
topic_09_proportion,0.00018489928,5.5116278e-05,78
embed_pc_30,0.0,0.0,79
embed_pc_29,0.0,0.0,80
embed_pc_28,0.0,0.0,81
embed_pc_27,0.0,0.0,82
embed_pc_26,0.0,0.0,83
embed_pc_25,0.0,0.0,84
embed_pc_17,0.0,0.0,85
embed_pc_23,0.0,0.0,86
embed_pc_22,0.0,0.0,87
embed_pc_21,0.0,0.0,88
embed_pc_19,0.0,0.0,89
embed_pc_18,0.0,0.0,90
embed_pc_15,0.0,0.0,91
embed_pc_31,0.0,0.0,92
