imdb_id,scene_index,scene_heading,contribution,n_dialogue_in_scene
tt0086927,0,EXT. ST. ANN'S SCHOOL - DAY,0.0,13
tt0086927,1,INT. BUS - DAY,0.0,2
tt0086927,2,EXT. THE BUS,0.0,0
tt0086927,3,INT. THE BUS,0.0,0
tt0086927,4,EXT. THE BUSES,0.0,0
tt0086927,5,INT. RICK'S BUS,0.0,0
tt0086927,6,EXT. THE STREET - LOW ANGLE,0.0,0
tt0086927,7,INT. THE BUS,0.0,0
tt0086927,8,EXT. THE BUSES,0.0,0
tt0086927,9,INT. THE BUS,0.0,0
tt0086927,10,EXT. THE OTHER BUS,0.0,0
tt0086927,11,INT. THE OTHER BUS,0.0,0
tt0086927,12,EXT. THE STREET,0.0,0
tt0086927,13,INT. RICK'S BUS,0.0,23
tt0086927,14,EXT. CHULO'S AUTO SHOP - DAY,0.0,11
tt0086927,15,INT. OFFICE BUILDING - DAY,0.0,12
tt0086927,16,INT. HARBORSIDE INN - DAY,0.0,46
tt0086927,17,EXT. THE JEAN MACHINE - DAY,0.0,0
tt0086927,18,INT. THE JEAN MACHINE - DAY,0.0,23
tt0086927,19,INT. RICK AND DEBBIE'S APARTMENT - NIGHT,0.0,22
tt0086927,20,EXT. BEL AIR-TYPE ESTATE - DAY,0.0,1
tt0086927,21,INT. COLE'S SMOKEHOUSE - DAY,0.0,21
tt0086927,22,INT. DR. STAN STAHL'S OFFICE - DAY,0.0,17
tt0086927,23,EXT. DEBBIE'S PARENTS' HOUSE - BACKYARD - DAY,0.0,7
tt0086927,24,EXT. THE THOMERSON'S NEIGHBORS' BACKYARD - DAY,0.0,1
tt0086927,25,EXT. THE THOMERSON'S - MEDIUM SHOT - DAY,0.0,20
tt0086927,26,EXT. THOMERSON'S NEIGHBORS' HOUSE,0.0,1
tt0086927,27,INT. THOMERSON HOUSE - DAY,0.0,10
tt0086927,28,EXT. THOMERSON TENNIS COURT - DAY,0.0,12
tt0086927,29,EXT. PARK ON A BLUFF - DAY,0.0,33
tt0086927,30,INT. RICK AND DEBBIE'S BEDROOM - NIGHT,0.0,17
tt0086927,31,INT. AIRPORT - DAY,0.0,23
tt0086927,32,EXT. TERMINAL,0.0,7
tt0086927,33,INT. BUS - DUSK,0.0,10
tt0086927,34,EXT. BUS,0.0,1
tt0086927,35,EXT. THOMERSON'S - DUSK,0.0,0
tt0086927,36,INT. RICK'S BUS - DUSK,0.0,17
tt0086927,37,INT. GRIMY STREET CORNER - EVENING,0.0,17
tt0086927,38,INT. HOTEL LOBBY - NIGHT,0.0,13
tt0086927,39,INT. THE THOMERSON'S - NIGHT,0.0,10
tt0086927,40,EXT. HOTEL HALLWAY - NIGHT,0.0,5
tt0086927,41,INT. HOTEL SUITE - NIGHT,0.0,26
tt0086927,42,INT. THOMERSON HOUSE,0.0,8
tt0086927,43,INT. THOMERSON'S LIVING ROOM,0.0,8
tt0086927,44,INT. HOTEL SUITE,0.0,40
tt0086927,45,EXT. HOTEL PARKING LOT - NIGHT,0.0,0
tt0086927,46,INT. HOTEL SUITE,0.0,5
tt0086927,47,EXT. STREET CORNER - NIGHT,0.0,14
tt0086927,48,EXT. CHIPPENDALE'S - NIGHT,0.0,7
tt0086927,49,INT. CHIPPENDALE'S - NIGHT,0.0,5
tt0086927,50,INT. HOTEL SUITE,0.0,11
tt0086927,51,INT. CHIPPENDALE'S - MICHAEL,0.0,1
tt0086927,52,INT. HOTEL SUITE,0.0,12
tt0086927,53,EXT. HOTEL,0.0,0
tt0086927,54,INT. HOTEL,0.0,9
tt0086927,55,INT. CHIPPENDALE'S KITCHEN - NIGHT,0.0,21
tt0086927,56,EXT. STREET CORNER,0.0,18
tt0086927,57,EXT. HOTEL - NIGHT,0.0,0
tt0086927,58,INT. HOTEL SUITE,0.0,30
tt0086927,59,EXT. HOTEL,0.0,2
tt0086927,60,INT. HOTEL SUITE - ANGLE - RICK,0.0,4
tt0086927,61,INT. HOTEL SUITE,0.0,4
tt0086927,62,INT. HOTEL RESTAURANT,0.0,24
tt0086927,63,INT. HOTEL SUITE,0.0,15
tt0086927,64,INT. HOTEL CORRIDOR,0.0,1
tt0086927,65,INT. CORRIDOR,0.0,0
tt0086927,66,INT. STAGE,0.0,2
tt0086927,67,INT. THOMERSON'S BEDROOM - NIGHT,0.0,13
tt0086927,68,INT. HOTEL SUITE,0.0,12
tt0086927,69,INT. BATHROOM - TIGHT ON LARRY,0.0,13
tt0086927,70,EXT. STABLES - NIGHT,0.0,1
tt0086927,71,EXT. HOTEL - NIGHT,0.0,0
tt0086927,72,INT. HOTEL SUITE,0.0,9
tt0086927,73,INT. BEDROOM,0.0,10
tt0086927,74,INT. HOTEL ROOM,0.0,3
tt0086927,75,INT. HOTEL ROOM ACROSS THE STREET - NIGHT,0.0,0
tt0086927,76,INT. HOTEL SUITE,0.0,1
tt0086927,77,INT. HOTEL SUITE,0.0,10
tt0086927,78,INT. BACKSTAGE OF BEAUTY PAGEANT,0.0,14
tt0086927,79,INT. HOTEL LOBBY - NIGHT,0.0,5
tt0086927,80,INT. HOTEL CORRIDOR,0.0,5
tt0086927,81,INT. JAPANESE GUYS' ROOM,0.0,5
tt0086927,82,EXT. COLE'S ROOM,0.0,2
tt0086927,83,INT. COLE'S ROOM,0.0,3
tt0086927,84,INT. CORRIDOR OUTSIDE COLE'S DOOR,0.0,2
tt0086927,85,INT. COLE'S ROOM,0.0,3
tt0086927,86,EXT. HOTEL,0.0,3
tt0086927,87,INT. COLE'S ROOM,0.0,1
tt0086927,88,INT. COLE'S ROOM,0.0,0
tt0086927,89,INT. ANOTHER HOTEL ROOM,0.0,2
tt0086927,90,INT. JAPANESE BUSINESSMEN'S ROOM,0.0,1
tt0086927,91,INT. COLE'S ROOM,0.0,0
tt0086927,92,INT. COLE'S ROOM,0.0,0
tt0086927,93,INT. CAR,0.0,1
tt0086927,94,EXT. SPORTSCAR,0.0,0
tt0086927,95,INT. BANQUET ROOM - BACKSTAGE,0.0,7
tt0086927,96,EXT. HOTEL - NIGHT,0.0,0
tt0086927,97,INT. CAR,0.0,5
tt0086927,98,INT. HOTEL LOBBY - A FEW MINUTES LATER,0.0,21
tt0086927,99,INT. HOTEL SUITE - NIGHT,0.0,16
tt0086927,100,INT. HALLWAY,0.0,0
tt0086927,101,INT. RICK'S SUITE,0.0,0
