feature,mean_abs_shap,mean_signed_shap,shap_rank,importance,native_rank
release_year_parsed,0.1823276,0.007424065,1,0.022100287,1
genre_Horror,0.1297496,0.082057044,2,0.014461023,16
network_lead_role_count,0.09569599,0.025524465,3,0.01584254,6
genre_Action,0.09053026,-0.0012682389,4,0.015342882,7
genre_Romance,0.089584604,-0.06472953,5,0.014198103,18
topic_15_proportion,0.06694442,-0.0011066021,6,0.014474025,15
embed_pc_05,0.06189019,0.0038068567,7,0.016681295,4
embed_pc_06,0.060790263,0.0028095408,8,0.0115943365,53
network_max_betweenness_centrality,0.06023287,0.0013636905,9,0.011968887,46
network_top1_dialogue_share,0.059254773,0.0075503415,10,0.012892349,39
network_n_significant_characters,0.056494005,0.0072681666,11,0.013481448,32
embed_pc_12,0.053343643,0.011428776,12,0.014298705,17
topic_10_proportion,0.053019505,0.001810954,13,0.014707615,11
embed_pc_11,0.052684695,0.0038394001,14,0.014754904,10
genre_Science Fiction,0.05218492,0.02388442,15,0.013266532,34
topic_12_proportion,0.050802797,0.011777211,16,0.011865758,48
topic_01_proportion,0.050343435,0.018991964,17,0.0126164,41
network_top1_eigenvector_centrality,0.048871793,0.003734003,18,0.013936739,25
embed_pc_03,0.04863247,-0.0007593213,19,0.014071504,22
embed_pc_14,0.04744669,0.0034077298,20,0.014626549,12
topic_dominant_id,0.044025246,0.0051469337,21,0.01358965,30
embed_pc_13,0.042264566,0.00017917293,22,0.011803369,49
topic_17_proportion,0.037963428,0.013517533,23,0.013755299,27
topic_18_proportion,0.037459645,0.008638386,24,0.013624459,29
network_dialogue_gini,0.0350735,0.004781071,25,0.011761028,52
embed_pc_00,0.03433889,0.008176686,26,0.0135496715,31
network_modularity,0.034097925,0.0008319094,27,0.014141047,19
genre_Other,0.031369504,0.025943266,28,0.015220837,8
genre_Thriller,0.030640068,0.016736757,29,0.011141533,61
network_mean_clustering_coefficient,0.02851549,0.0058337026,30,0.013757146,26
log_parse_warning_count,0.027875442,-0.0021269459,31,0.012232406,44
topic_11_proportion,0.027539505,0.01033402,32,0.013090459,36
topic_08_proportion,0.027015788,0.00010523553,33,0.0145965265,14
embed_pc_01,0.025948655,0.008182076,34,0.013331923,33
embed_pc_04,0.025376782,0.00437477,35,0.011344058,56
topic_19_proportion,0.02424883,0.0014493092,36,0.012298735,43
genre_Drama,0.023409946,-0.013040948,37,0.013983718,23
topic_07_proportion,0.02292097,-0.001521735,38,0.012142394,45
log_total_dialogue_chars,0.022084074,0.0031293684,39,0.01316942,35
embed_pc_10,0.021767927,0.0051796227,40,0.014082502,21
topic_03_proportion,0.019596802,-0.018844,41,0.01125896,59
embed_pc_07,0.018814098,0.0050175777,42,0.011483016,55
genre_War,0.018668592,0.0021566395,43,0.01492135,9
log_n_scenes,0.017923163,-0.0027367405,44,0.011530905,54
genre_Crime,0.017895835,-0.0051062284,45,0.013974893,24
log_n_unique_characters,0.016064096,0.005918849,46,0.015915964,5
topic_06_proportion,0.015947392,0.0027660704,47,0.02038653,2
topic_13_proportion,0.015651947,0.001377045,48,0.011306952,57
embed_pc_08,0.014049709,-0.0029686394,49,0.011907595,47
log_total_action_chars,0.013819428,0.005903098,50,0.011068319,63
genre_Comedy,0.0137934,0.009883671,51,0.011791778,51
log_runtime,0.013192344,0.006141706,52,0.013001807,38
genre_Family,0.013163867,0.00053295464,53,0.011289875,58
network_diameter,0.012382436,0.0015685816,54,0.0106997825,67
embed_pc_20,0.012195488,0.001271291,55,0.014125743,20
network_top3_dialogue_share,0.011991866,0.0040470827,56,0.010725284,66
embed_pc_02,0.010597376,0.0015546251,57,0.010333869,71
embed_pc_09,0.009628587,0.0015343918,58,0.008394677,77
topic_02_proportion,0.009501744,0.0007825424,59,0.01462612,13
topic_04_proportion,0.008816486,0.0036288581,60,0.011167483,60
network_n_components,0.008395553,0.002985392,61,0.011114439,62
network_density,0.008085738,0.0013973201,62,0.009555754,75
topic_concentration_entropy,0.0077914014,0.0021456291,63,0.011014734,64
topic_14_proportion,0.007724676,0.0010579559,64,0.0099811815,72
dialogue_to_total_text_ratio,0.0069890646,-0.00011756956,65,0.013021931,37
embed_pc_24,0.006716656,-0.0015288446,66,0.012458252,42
genre_Animation,0.006646572,-2.5571664e-05,67,0.011799744,50
genre_Adventure,0.006327988,-0.0013298147,68,0.009604423,74
genre_History,0.00628641,-0.003974108,69,0.009796514,73
genre_Mystery,0.0061254352,0.00012835523,70,0.01368083,28
topic_00_proportion,0.0061044847,-0.00038407618,71,0.010380807,70
genre_Music,0.006028661,0.0034879886,72,0.012749354,40
log_n_dialogue_lines,0.005228635,0.0031524953,73,0.010730999,65
topic_05_proportion,0.0032850467,0.00051757117,74,0.0106666135,68
genre_Fantasy,0.0030935116,0.0024598425,75,0.009179975,76
embed_pc_16,0.00081039616,0.00013224877,76,0.017188927,3
topic_16_proportion,0.00073803455,-0.00025008403,77,0.010594014,69
topic_09_proportion,0.00018489928,5.5116278e-05,78,0.0067725386,78
embed_pc_30,0.0,0.0,79,0.0,79
embed_pc_29,0.0,0.0,80,0.0,79
embed_pc_28,0.0,0.0,81,0.0,79
embed_pc_27,0.0,0.0,82,0.0,79
embed_pc_26,0.0,0.0,83,0.0,79
embed_pc_25,0.0,0.0,84,0.0,79
embed_pc_17,0.0,0.0,85,0.0,79
embed_pc_23,0.0,0.0,86,0.0,79
embed_pc_22,0.0,0.0,87,0.0,79
embed_pc_21,0.0,0.0,88,0.0,79
embed_pc_19,0.0,0.0,89,0.0,79
embed_pc_18,0.0,0.0,90,0.0,79
embed_pc_15,0.0,0.0,91,0.0,79
embed_pc_31,0.0,0.0,92,0.0,79
