cut_column,cut_value,n,n_pos,n_neg,auc,f1_at_0.5,log_loss,p_greenlight,p_pass,p_refer,total_cost,cost_per_film_M
primary_genre_bucketed,Action,36,26,10,0.4903846153846154,0.8135593220338984,0.6454488593234585,0.0,0.0,1.0,180000.0,0.005
primary_genre_bucketed,Adventure,17,10,7,0.4642857142857143,0.7407407407407407,0.708414145424513,0.0,0.0,1.0,85000.0,0.005
primary_genre_bucketed,Animation,7,4,3,0.5,0.7272727272727273,0.6875225302020045,0.14285714285714285,0.0,0.8571428571428571,30000.0,0.004285714285714285
primary_genre_bucketed,Comedy,46,28,18,0.505952380952381,0.7323943661971831,0.6871411335105335,0.0,0.0,1.0,230000.0,0.005
primary_genre_bucketed,Crime,14,8,6,0.5416666666666666,0.7619047619047619,0.6729118586293849,0.0,0.0,1.0,70000.0,0.005
primary_genre_bucketed,Drama,66,37,29,0.5843429636533084,0.7272727272727273,0.6713603423184478,0.0,0.0,1.0,330000.0,0.005
primary_genre_bucketed,Family,3,1,2,0.0,0.5,1.0242943875428452,0.0,0.0,1.0,15000.0,0.005
primary_genre_bucketed,Fantasy,8,4,4,0.25,0.6666666666666666,2.670331470793799,0.125,0.0,0.875,50035000.0,6.254375
primary_genre_bucketed,History,2,2,0,,0.6666666666666666,0.7803238720035969,0.0,0.0,1.0,10000.0,0.005
primary_genre_bucketed,Horror,22,16,6,0.40625,0.8421052631578947,0.6304808115424584,0.0,0.0,1.0,110000.0,0.005
primary_genre_bucketed,Music,2,0,2,,0.0,0.8209805574884342,0.0,0.0,1.0,10000.0,0.005
primary_genre_bucketed,Mystery,3,2,1,0.5,0.8,0.6414943788065705,0.0,0.0,1.0,15000.0,0.005
primary_genre_bucketed,Other,1,0,1,,0.0,0.4700036292457356,0.0,0.0,1.0,5000.0,0.005
primary_genre_bucketed,Romance,6,3,3,0.33333333333333337,0.6666666666666666,0.8021096019023378,0.0,0.0,1.0,30000.0,0.005
primary_genre_bucketed,Science Fiction,10,6,4,0.625,0.75,0.6476210957117601,0.0,0.0,1.0,50000.0,0.005
primary_genre_bucketed,Thriller,12,9,3,0.5185185185185186,0.8571428571428571,0.6117824727531348,0.0,0.0,1.0,60000.0,0.005
primary_genre_bucketed,War,2,2,0,,1.0,0.5299680856376343,0.0,0.0,1.0,10000.0,0.005
