2026-05-03 18:11:08 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=lexical_multifamily dir=runs/phase_3/20260503_1811_lexical_multifamily
2026-05-03 18:11:08 | INFO    | __main__ | Starting lexical ablation evaluation across 4 families
2026-05-03 18:11:08 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | train | log_roi | mse = 1.7359
2026-05-03 18:11:08 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | train | log_roi | rmse = 1.3175
2026-05-03 18:11:08 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | train | log_roi | mae = 0.9346
2026-05-03 18:11:08 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | train | log_roi | cvrmse = 0.9778
2026-05-03 18:11:09 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | log_roi | mse = 1.8216 [CI 1.5166, 2.2041]
2026-05-03 18:11:09 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | log_roi | rmse = 1.3497 [CI 1.2315, 1.4846]
2026-05-03 18:11:09 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | log_roi | mae = 0.9545 [CI 0.9020, 1.0093]
2026-05-03 18:11:09 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | log_roi | cvrmse = 1.0017 [CI 0.9283, 1.0790]
2026-05-03 18:11:13 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_1 | auc_roc = 0.5653 [CI 0.5268, 0.6054]
2026-05-03 18:11:13 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_1 | pr_auc = 0.8439 [CI 0.8188, 0.8742]
2026-05-03 18:11:13 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_1 | log_loss = 0.5138 [CI 0.4713, 0.5513]
2026-05-03 18:11:13 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_1 | f1 = 0.8918 [CI 0.8783, 0.9064]
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_2 | auc_roc = 0.5998 [CI 0.5703, 0.6332]
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_2 | pr_auc = 0.7288 [CI 0.6981, 0.7639]
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_2 | log_loss = 0.6381 [CI 0.6191, 0.6554]
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | linear | oof   | roi_gt_2 | f1 = 0.7734 [CI 0.7539, 0.7944]
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | histgb | train | log_roi | mse = 1.1929
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | histgb | train | log_roi | rmse = 1.0922
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | histgb | train | log_roi | mae = 0.7724
2026-05-03 18:11:18 | INFO    | src.models.baseline.train | dialogue_only_logged_lexical | histgb | train | log_roi | cvrmse = 0.8106
