2026-05-03 19:43:14 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=sentiment_multifamily dir=runs/phase_3/20260503_1943_sentiment_multifamily
2026-05-03 19:43:14 | INFO    | __main__ | Starting sentiment ablation evaluation across 4 families
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | train | log_roi | mse = 1.7014
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | train | log_roi | rmse = 1.3044
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | train | log_roi | mae = 0.9242
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | train | log_roi | cvrmse = 0.9680
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | log_roi | mse = 1.8421 [CI 1.5337, 2.2214]
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | log_roi | rmse = 1.3573 [CI 1.2384, 1.4904]
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | log_roi | mae = 0.9585 [CI 0.9051, 1.0128]
2026-05-03 19:43:14 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | log_roi | cvrmse = 1.0073 [CI 0.9347, 1.0874]
2026-05-03 19:43:19 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_1 | auc_roc = 0.5463 [CI 0.5091, 0.5876]
2026-05-03 19:43:19 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_1 | pr_auc = 0.8377 [CI 0.8123, 0.8665]
2026-05-03 19:43:19 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_1 | log_loss = 0.5120 [CI 0.4735, 0.5454]
2026-05-03 19:43:19 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_1 | f1 = 0.8903 [CI 0.8773, 0.9045]
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_2 | auc_roc = 0.6102 [CI 0.5794, 0.6451]
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_2 | pr_auc = 0.7283 [CI 0.6950, 0.7654]
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_2 | log_loss = 0.6410 [CI 0.6172, 0.6619]
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | linear | oof   | roi_gt_2 | f1 = 0.7702 [CI 0.7489, 0.7917]
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | train | log_roi | mse = 1.3344
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | train | log_roi | rmse = 1.1552
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | train | log_roi | mae = 0.8227
2026-05-03 19:43:23 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | train | log_roi | cvrmse = 0.8573
2026-05-03 19:43:24 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | log_roi | mse = 1.7639 [CI 1.4681, 2.1288]
2026-05-03 19:43:24 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | log_roi | rmse = 1.3281 [CI 1.2116, 1.4590]
2026-05-03 19:43:24 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | log_roi | mae = 0.9488 [CI 0.8966, 0.9993]
2026-05-03 19:43:24 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | log_roi | cvrmse = 0.9857 [CI 0.9131, 1.0615]
2026-05-03 19:43:28 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_1 | auc_roc = 0.5399 [CI 0.5009, 0.5797]
2026-05-03 19:43:28 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_1 | pr_auc = 0.8297 [CI 0.8019, 0.8586]
2026-05-03 19:43:28 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_1 | log_loss = 0.4906 [CI 0.4561, 0.5214]
2026-05-03 19:43:28 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_1 | f1 = 0.8938 [CI 0.8807, 0.9084]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_2 | auc_roc = 0.5918 [CI 0.5594, 0.6262]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_2 | pr_auc = 0.7234 [CI 0.6906, 0.7597]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_2 | log_loss = 0.6402 [CI 0.6205, 0.6597]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | histgb | oof   | roi_gt_2 | f1 = 0.7722 [CI 0.7524, 0.7923]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | train | log_roi | mse = 0.0000
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | train | log_roi | rmse = 0.0000
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | train | log_roi | mae = 0.0000
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | train | log_roi | cvrmse = 0.0000
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | log_roi | mse = 1.9243 [CI 1.6043, 2.3000]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | log_roi | rmse = 1.3872 [CI 1.2666, 1.5166]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | log_roi | mae = 0.9896 [CI 0.9350, 1.0422]
2026-05-03 19:43:33 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | log_roi | cvrmse = 1.0295 [CI 0.9563, 1.1056]
2026-05-03 19:43:37 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_1 | auc_roc = 0.4936 [CI 0.4552, 0.5342]
2026-05-03 19:43:37 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_1 | pr_auc = 0.8007 [CI 0.7723, 0.8348]
2026-05-03 19:43:37 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_1 | log_loss = 0.6010 [CI 0.5108, 0.7181]
2026-05-03 19:43:37 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_1 | f1 = 0.8933 [CI 0.8804, 0.9074]
2026-05-03 19:43:40 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_2 | auc_roc = 0.5453 [CI 0.5103, 0.5795]
2026-05-03 19:43:40 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_2 | pr_auc = 0.6757 [CI 0.6392, 0.7134]
2026-05-03 19:43:40 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_2 | log_loss = 0.6657 [CI 0.6482, 0.6840]
2026-05-03 19:43:40 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | knn | oof   | roi_gt_2 | f1 = 0.7383 [CI 0.7162, 0.7614]
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | train | log_roi | mse = 1.3555
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | train | log_roi | rmse = 1.1643
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | train | log_roi | mae = 0.7213
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | train | log_roi | cvrmse = 0.8641
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | log_roi | mse = 1.8670 [CI 1.5536, 2.2404]
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | log_roi | rmse = 1.3664 [CI 1.2464, 1.4968]
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | log_roi | mae = 0.9698 [CI 0.9197, 1.0208]
2026-05-03 19:43:41 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | log_roi | cvrmse = 1.0141 [CI 0.9362, 1.0926]
2026-05-03 19:43:44 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_1 | auc_roc = 0.4745 [CI 0.4340, 0.5149]
2026-05-03 19:43:44 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_1 | pr_auc = 0.7984 [CI 0.7697, 0.8312]
2026-05-03 19:43:44 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 19:43:47 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_2 | auc_roc = 0.5695 [CI 0.5363, 0.6032]
2026-05-03 19:43:47 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_2 | pr_auc = 0.6964 [CI 0.6608, 0.7328]
2026-05-03 19:43:47 | INFO    | src.models.baseline.train | dialogue_only_logged_sentiment | svm | oof   | roi_gt_2 | f1 = 0.7827 [CI 0.7634, 0.8022]
2026-05-03 19:43:47 | INFO    | __main__ | Ablation table written: 192 rows total
2026-05-03 19:43:47 | INFO    | src.experiments.save_run | Run finished: phase=phase_3 name=sentiment_multifamily dir=runs/phase_3/20260503_1943_sentiment_multifamily
