2026-05-03 20:15:57 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=topic_multifamily dir=runs/phase_3/20260503_2015_topic_multifamily
2026-05-03 20:15:57 | INFO    | __main__ | Starting topic ablation evaluation across 4 families
2026-05-03 20:15:57 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | train | log_roi | mse = 1.6918
2026-05-03 20:15:57 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | train | log_roi | rmse = 1.3007
2026-05-03 20:15:57 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | train | log_roi | mae = 0.9214
2026-05-03 20:15:57 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | train | log_roi | cvrmse = 0.9653
2026-05-03 20:15:58 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | log_roi | mse = 1.8340 [CI 1.5289, 2.2312]
2026-05-03 20:15:58 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | log_roi | rmse = 1.3543 [CI 1.2365, 1.4937]
2026-05-03 20:15:58 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | log_roi | mae = 0.9558 [CI 0.9026, 1.0096]
2026-05-03 20:15:58 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | log_roi | cvrmse = 1.0051 [CI 0.9321, 1.0864]
2026-05-03 20:16:02 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_1 | auc_roc = 0.5903 [CI 0.5492, 0.6309]
2026-05-03 20:16:02 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_1 | pr_auc = 0.8603 [CI 0.8362, 0.8871]
2026-05-03 20:16:02 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_1 | log_loss = 0.4971 [CI 0.4587, 0.5321]
2026-05-03 20:16:02 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_1 | f1 = 0.8898 [CI 0.8773, 0.9040]
2026-05-03 20:16:06 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_2 | auc_roc = 0.6133 [CI 0.5836, 0.6454]
2026-05-03 20:16:06 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_2 | pr_auc = 0.7327 [CI 0.7002, 0.7693]
2026-05-03 20:16:06 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_2 | log_loss = 0.6422 [CI 0.6187, 0.6632]
2026-05-03 20:16:06 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | linear | oof   | roi_gt_2 | f1 = 0.7601 [CI 0.7402, 0.7821]
2026-05-03 20:16:07 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | train | log_roi | mse = 1.0936
2026-05-03 20:16:07 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | train | log_roi | rmse = 1.0458
2026-05-03 20:16:07 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | train | log_roi | mae = 0.7389
2026-05-03 20:16:07 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | train | log_roi | cvrmse = 0.7761
2026-05-03 20:16:08 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | log_roi | mse = 1.7848 [CI 1.4918, 2.1547]
2026-05-03 20:16:08 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | log_roi | rmse = 1.3360 [CI 1.2214, 1.4679]
2026-05-03 20:16:08 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | log_roi | mae = 0.9533 [CI 0.8997, 1.0036]
2026-05-03 20:16:08 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | log_roi | cvrmse = 0.9915 [CI 0.9190, 1.0678]
2026-05-03 20:16:12 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_1 | auc_roc = 0.5783 [CI 0.5376, 0.6196]
2026-05-03 20:16:12 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_1 | pr_auc = 0.8453 [CI 0.8206, 0.8716]
2026-05-03 20:16:12 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_1 | log_loss = 0.4840 [CI 0.4498, 0.5151]
2026-05-03 20:16:12 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8805, 0.9080]
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_2 | auc_roc = 0.5993 [CI 0.5675, 0.6319]
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_2 | pr_auc = 0.7307 [CI 0.6983, 0.7669]
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_2 | log_loss = 0.6369 [CI 0.6152, 0.6577]
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | histgb | oof   | roi_gt_2 | f1 = 0.7776 [CI 0.7573, 0.7994]
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | train | log_roi | mse = 0.0000
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | train | log_roi | rmse = 0.0000
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | train | log_roi | mae = 0.0000
2026-05-03 20:16:17 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | train | log_roi | cvrmse = 0.0000
2026-05-03 20:16:18 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | log_roi | mse = 1.8919 [CI 1.5811, 2.2765]
2026-05-03 20:16:18 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | log_roi | rmse = 1.3755 [CI 1.2574, 1.5088]
2026-05-03 20:16:18 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | log_roi | mae = 0.9778 [CI 0.9242, 1.0334]
2026-05-03 20:16:18 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | log_roi | cvrmse = 1.0208 [CI 0.9504, 1.0987]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | auc_roc = 0.5545 [CI 0.5131, 0.5970]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | pr_auc = 0.8414 [CI 0.8136, 0.8678]
2026-05-03 20:16:21 | INFO    | src.models.baseline.train | dialogue_only_logged_topic | knn | oof   | roi_gt_1 | log_loss = 0.6075 [CI 0.5006, 0.7329]
