2026-05-03 20:47:34 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=embedding_multifamily dir=runs/phase_3/20260503_2047_embedding_multifamily
2026-05-03 20:47:34 | INFO    | __main__ | Starting embedding ablation evaluation across 4 families
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | train | log_roi | mse = 1.6801
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | train | log_roi | rmse = 1.2962
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | train | log_roi | mae = 0.9184
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | train | log_roi | cvrmse = 0.9620
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | log_roi | mse = 1.7721 [CI 1.4649, 2.1657]
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | log_roi | rmse = 1.3312 [CI 1.2103, 1.4716]
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | log_roi | mae = 0.9424 [CI 0.8915, 0.9942]
2026-05-03 20:47:34 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | log_roi | cvrmse = 0.9880 [CI 0.9138, 1.0689]
2026-05-03 20:47:39 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | roi_gt_1 | auc_roc = 0.5608 [CI 0.5230, 0.6019]
2026-05-03 20:47:39 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | roi_gt_1 | pr_auc = 0.8413 [CI 0.8155, 0.8698]
2026-05-03 20:47:39 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | roi_gt_1 | log_loss = 0.5269 [CI 0.4824, 0.5683]
2026-05-03 20:47:39 | INFO    | src.models.baseline.train | dialogue_only_logged_embedding | linear | oof   | roi_gt_1 | f1 = 0.8872 [CI 0.8736, 0.9017]
