2026-05-03 21:55:28 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=combinations_all_five dir=runs/phase_3/20260503_2155_combinations_all_five
2026-05-03 21:55:28 | INFO    | __main__ | Phase 3c combination 'all_five': 127 features (127 total columns)
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | train | log_roi | mse = 1.6704
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | train | log_roi | rmse = 1.2924
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | train | log_roi | mae = 0.9096
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | train | log_roi | cvrmse = 0.9592
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | log_roi | mse = 1.8107 [CI 1.5002, 2.2048]
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | log_roi | rmse = 1.3456 [CI 1.2248, 1.4849]
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | log_roi | mae = 0.9480 [CI 0.8960, 1.0011]
2026-05-03 21:55:28 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | log_roi | cvrmse = 0.9987 [CI 0.9239, 1.0814]
2026-05-03 21:55:34 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_1 | auc_roc = 0.5526 [CI 0.5118, 0.5953]
2026-05-03 21:55:34 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_1 | pr_auc = 0.8325 [CI 0.8050, 0.8631]
2026-05-03 21:55:34 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_1 | log_loss = 0.6406 [CI 0.5546, 0.7340]
2026-05-03 21:55:34 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_1 | f1 = 0.8679 [CI 0.8541, 0.8832]
2026-05-03 21:55:39 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_2 | auc_roc = 0.6123 [CI 0.5789, 0.6436]
2026-05-03 21:55:39 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_2 | pr_auc = 0.7365 [CI 0.7018, 0.7712]
2026-05-03 21:55:39 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_2 | log_loss = 0.6344 [CI 0.6177, 0.6507]
2026-05-03 21:55:39 | INFO    | src.models.baseline.train | phase_3c_all_five | linear | oof   | roi_gt_2 | f1 = 0.7827 [CI 0.7631, 0.8018]
2026-05-03 21:55:40 | INFO    | src.models.baseline.train | phase_3c_all_five | histgb | train | log_roi | mse = 1.1139
