2026-05-03 21:56:08 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=combinations_partial_positives dir=runs/phase_3/20260503_2156_combinations_partial_positives
2026-05-03 21:56:08 | INFO    | __main__ | Phase 3c combination 'partial_positives': 92 features (92 total columns)
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | train | log_roi | mse = 1.6925
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | train | log_roi | rmse = 1.3010
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | train | log_roi | mae = 0.9154
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | train | log_roi | cvrmse = 0.9655
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | log_roi | mse = 1.8085 [CI 1.4994, 2.2024]
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | log_roi | rmse = 1.3448 [CI 1.2245, 1.4840]
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | log_roi | mae = 0.9503 [CI 0.8981, 1.0034]
2026-05-03 21:56:09 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | log_roi | cvrmse = 0.9981 [CI 0.9227, 1.0799]
2026-05-03 21:56:14 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_1 | auc_roc = 0.5697 [CI 0.5291, 0.6105]
2026-05-03 21:56:14 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_1 | pr_auc = 0.8444 [CI 0.8174, 0.8728]
2026-05-03 21:56:14 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_1 | log_loss = 0.5157 [CI 0.4738, 0.5568]
2026-05-03 21:56:14 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_1 | f1 = 0.8900 [CI 0.8771, 0.9046]
2026-05-03 21:56:19 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_2 | auc_roc = 0.5989 [CI 0.5666, 0.6325]
2026-05-03 21:56:19 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_2 | pr_auc = 0.7135 [CI 0.6792, 0.7532]
2026-05-03 21:56:19 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_2 | log_loss = 0.6473 [CI 0.6267, 0.6670]
2026-05-03 21:56:19 | INFO    | src.models.baseline.train | phase_3c_partial_positives | linear | oof   | roi_gt_2 | f1 = 0.7754 [CI 0.7556, 0.7965]
2026-05-03 21:56:20 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | train | log_roi | mse = 1.1905
2026-05-03 21:56:20 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | train | log_roi | rmse = 1.0911
2026-05-03 21:56:20 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | train | log_roi | mae = 0.7716
2026-05-03 21:56:20 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | train | log_roi | cvrmse = 0.8098
2026-05-03 21:56:21 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | log_roi | mse = 1.7656 [CI 1.4740, 2.1266]
2026-05-03 21:56:21 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | log_roi | rmse = 1.3288 [CI 1.2141, 1.4583]
2026-05-03 21:56:21 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | log_roi | mae = 0.9519 [CI 0.8997, 1.0025]
2026-05-03 21:56:21 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | log_roi | cvrmse = 0.9862 [CI 0.9135, 1.0631]
2026-05-03 21:56:26 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_1 | auc_roc = 0.5272 [CI 0.4872, 0.5680]
2026-05-03 21:56:26 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_1 | pr_auc = 0.8251 [CI 0.7988, 0.8554]
2026-05-03 21:56:26 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_1 | log_loss = 0.4913 [CI 0.4570, 0.5212]
2026-05-03 21:56:26 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_1 | f1 = 0.8934 [CI 0.8800, 0.9080]
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_2 | auc_roc = 0.5946 [CI 0.5621, 0.6272]
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_2 | pr_auc = 0.7172 [CI 0.6820, 0.7550]
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_2 | log_loss = 0.6433 [CI 0.6217, 0.6638]
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | histgb | oof   | roi_gt_2 | f1 = 0.7678 [CI 0.7469, 0.7894]
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | train | log_roi | mse = 0.0000
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | train | log_roi | rmse = 0.0000
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | train | log_roi | mae = 0.0000
2026-05-03 21:56:31 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | train | log_roi | cvrmse = 0.0000
2026-05-03 21:56:32 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | log_roi | mse = 1.8694 [CI 1.5677, 2.2510]
2026-05-03 21:56:32 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | log_roi | rmse = 1.3673 [CI 1.2521, 1.5003]
2026-05-03 21:56:32 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | log_roi | mae = 0.9719 [CI 0.9206, 1.0274]
2026-05-03 21:56:32 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | log_roi | cvrmse = 1.0147 [CI 0.9454, 1.0904]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | auc_roc = 0.5495 [CI 0.5108, 0.5908]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | pr_auc = 0.8415 [CI 0.8163, 0.8697]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | log_loss = 0.5557 [CI 0.4790, 0.6481]
2026-05-03 21:56:36 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_1 | f1 = 0.8929 [CI 0.8794, 0.9075]
2026-05-03 21:56:40 | INFO    | src.models.baseline.train | phase_3c_partial_positives | knn | oof   | roi_gt_2 | auc_roc = 0.5664 [CI 0.5351, 0.5988]
