2026-05-03 21:56:48 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=combinations_topic_plus_cn dir=runs/phase_3/20260503_2156_combinations_topic_plus_cn
2026-05-03 21:56:48 | INFO    | __main__ | Phase 3c combination 'topic_plus_cn': 60 features (60 total columns)
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | train | log_roi | mse = 1.6917
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | train | log_roi | rmse = 1.3006
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | train | log_roi | mae = 0.9196
2026-05-03 21:56:48 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | train | log_roi | cvrmse = 0.9653
2026-05-03 21:56:49 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | log_roi | mse = 1.8673 [CI 1.5560, 2.2563]
2026-05-03 21:56:49 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | log_roi | rmse = 1.3665 [CI 1.2474, 1.5021]
2026-05-03 21:56:49 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | log_roi | mae = 0.9648 [CI 0.9104, 1.0182]
2026-05-03 21:56:49 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | log_roi | cvrmse = 1.0141 [CI 0.9404, 1.0945]
2026-05-03 21:56:53 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_1 | auc_roc = 0.5792 [CI 0.5396, 0.6215]
2026-05-03 21:56:53 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_1 | pr_auc = 0.8502 [CI 0.8246, 0.8791]
2026-05-03 21:56:53 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_1 | log_loss = 0.5029 [CI 0.4640, 0.5418]
2026-05-03 21:56:53 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_1 | f1 = 0.8896 [CI 0.8762, 0.9032]
2026-05-03 21:56:58 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_2 | auc_roc = 0.6223 [CI 0.5910, 0.6553]
2026-05-03 21:56:58 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_2 | pr_auc = 0.7407 [CI 0.7084, 0.7755]
2026-05-03 21:56:58 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_2 | log_loss = 0.6404 [CI 0.6160, 0.6635]
2026-05-03 21:56:58 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | linear | oof   | roi_gt_2 | f1 = 0.7546 [CI 0.7332, 0.7763]
2026-05-03 21:56:59 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | histgb | train | log_roi | mse = 1.3466
2026-05-03 21:56:59 | INFO    | src.models.baseline.train | phase_3c_topic_plus_cn | histgb | train | log_roi | rmse = 1.1604
