2026-05-03 21:57:26 | INFO    | src.experiments.save_run | Run started: phase=phase_3 name=combinations_semantic_trio dir=runs/phase_3/20260503_2157_combinations_semantic_trio
2026-05-03 21:57:26 | INFO    | __main__ | Phase 3c combination 'semantic_trio': 102 features (102 total columns)
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | train | log_roi | mse = 1.6858
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | train | log_roi | rmse = 1.2984
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | train | log_roi | mae = 0.9147
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | train | log_roi | cvrmse = 0.9636
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | log_roi | mse = 1.8032 [CI 1.4906, 2.2000]
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | log_roi | rmse = 1.3428 [CI 1.2209, 1.4833]
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | log_roi | mae = 0.9462 [CI 0.8949, 1.0004]
2026-05-03 21:57:27 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | log_roi | cvrmse = 0.9966 [CI 0.9228, 1.0795]
2026-05-03 21:57:32 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_1 | auc_roc = 0.5578 [CI 0.5167, 0.5983]
2026-05-03 21:57:32 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_1 | pr_auc = 0.8404 [CI 0.8132, 0.8693]
2026-05-03 21:57:32 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_1 | log_loss = 0.5582 [CI 0.4947, 0.6289]
2026-05-03 21:57:32 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_1 | f1 = 0.8849 [CI 0.8716, 0.8995]
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_2 | auc_roc = 0.5899 [CI 0.5547, 0.6235]
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_2 | pr_auc = 0.7069 [CI 0.6732, 0.7452]
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_2 | log_loss = 0.6463 [CI 0.6266, 0.6658]
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | linear | oof   | roi_gt_2 | f1 = 0.7700 [CI 0.7500, 0.7907]
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | histgb | train | log_roi | mse = 1.2093
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | histgb | train | log_roi | rmse = 1.0997
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | histgb | train | log_roi | mae = 0.7804
2026-05-03 21:57:38 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | histgb | train | log_roi | cvrmse = 0.8161
2026-05-03 21:57:40 | INFO    | src.models.baseline.train | phase_3c_semantic_trio | histgb | oof   | log_roi | mse = 1.7783 [CI 1.4810, 2.1454]
