2026-05-04 01:48:36 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_mpnet_random_forest dir=runs/phase_4/20260504_0148_standalone_positive_union_mpnet_random_forest
2026-05-04 01:48:36 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=random_forest target=log_roi task=regression
2026-05-04 01:48:36 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=regression X.shape=(1199, 92)
2026-05-04 01:50:09 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=regression score=-1.3078 params={'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__n_estimators': 500}
2026-05-04 01:50:09 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=random_forest task=regression
2026-05-04 01:50:16 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (random_forest, regression): mse=1.2934, rmse=1.1373, mae=0.8459, cvrmse=0.8912
2026-05-04 01:50:22 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (random_forest, regression): mse=1.7260, rmse=1.3138, mae=0.9421, cvrmse=0.9374
2026-05-04 01:50:28 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (random_forest, regression): mse=1.6223, rmse=1.2737, mae=0.9104, cvrmse=0.9668
2026-05-04 01:50:34 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (random_forest, regression): mse=1.7928, rmse=1.3389, mae=0.9761, cvrmse=0.9730
2026-05-04 01:50:40 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (random_forest, regression): mse=2.1767, rmse=1.4754, mae=0.9787, cvrmse=1.0802
2026-05-04 01:50:47 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (random_forest, regression): mse=1.3246, rmse=1.1509, mae=0.9113, cvrmse=0.8638
2026-05-04 01:50:53 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (random_forest, regression): mse=2.3002, rmse=1.5167, mae=0.9175, cvrmse=1.1045
2026-05-04 01:50:59 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (random_forest, regression): mse=1.5446, rmse=1.2428, mae=0.9148, cvrmse=0.9431
2026-05-04 01:51:06 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (random_forest, regression): mse=1.5694, rmse=1.2527, mae=0.9176, cvrmse=0.9539
2026-05-04 01:51:12 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (random_forest, regression): mse=1.8901, rmse=1.3748, mae=0.9993, cvrmse=0.9815
2026-05-04 01:51:18 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (random_forest, regression): mse=1.8713, rmse=1.3680, mae=0.9929, cvrmse=0.9524
2026-05-04 01:51:25 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (random_forest, regression): mse=1.6964, rmse=1.3025, mae=0.9937, cvrmse=0.9719
2026-05-04 01:51:31 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (random_forest, regression): mse=2.2115, rmse=1.4871, mae=0.9369, cvrmse=1.1085
2026-05-04 01:51:37 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (random_forest, regression): mse=1.4581, rmse=1.2075, mae=0.8225, cvrmse=0.9564
2026-05-04 01:51:44 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (random_forest, regression): mse=1.3895, rmse=1.1788, mae=0.9053, cvrmse=0.8690
2026-05-04 01:51:53 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=random_forest target=log_roi OOF=cvrmse=0.9724, mae=0.9283, mse=1.7167, rmse=1.3102 inner_best_params={'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__n_estimators': 500}
2026-05-04 01:51:53 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=random_forest target=roi_gt_1 task=classification
2026-05-04 01:51:53 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=random_forest task=classification X.shape=(1199, 92)
2026-05-04 01:52:04 | INFO    | src.models.phase4.cv | Inner CV best: family=random_forest task=classification score=0.6119 params={'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}
