2026-05-04 02:35:48 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_mpnet_lightgbm dir=runs/phase_4/20260504_0235_all_five_mpnet_lightgbm
2026-05-04 02:35:48 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=lightgbm target=log_roi task=regression
2026-05-04 02:35:48 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=regression X.shape=(1199, 127)
2026-05-04 02:36:03 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=regression score=-1.3160 params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:36:03 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=regression
2026-05-04 02:36:03 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, regression): mse=1.3298, rmse=1.1532, mae=0.8592, cvrmse=0.9036
2026-05-04 02:36:04 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, regression): mse=1.7396, rmse=1.3190, mae=0.9468, cvrmse=0.9410
2026-05-04 02:36:04 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, regression): mse=1.6777, rmse=1.2952, mae=0.9229, cvrmse=0.9832
2026-05-04 02:36:04 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, regression): mse=1.7931, rmse=1.3391, mae=0.9658, cvrmse=0.9731
2026-05-04 02:36:04 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, regression): mse=2.1715, rmse=1.4736, mae=0.9832, cvrmse=1.0789
2026-05-04 02:36:05 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, regression): mse=1.3445, rmse=1.1595, mae=0.9163, cvrmse=0.8703
2026-05-04 02:36:05 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, regression): mse=2.3799, rmse=1.5427, mae=0.9504, cvrmse=1.1235
2026-05-04 02:36:05 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, regression): mse=1.5662, rmse=1.2515, mae=0.9169, cvrmse=0.9497
2026-05-04 02:36:05 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, regression): mse=1.5829, rmse=1.2581, mae=0.9196, cvrmse=0.9580
2026-05-04 02:36:06 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, regression): mse=1.8759, rmse=1.3696, mae=0.9998, cvrmse=0.9778
2026-05-04 02:36:06 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, regression): mse=1.8533, rmse=1.3614, mae=1.0043, cvrmse=0.9478
2026-05-04 02:36:06 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, regression): mse=1.7121, rmse=1.3085, mae=0.9873, cvrmse=0.9764
2026-05-04 02:36:07 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, regression): mse=2.2844, rmse=1.5114, mae=0.9647, cvrmse=1.1266
2026-05-04 02:36:07 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, regression): mse=1.5246, rmse=1.2347, mae=0.8600, cvrmse=0.9780
2026-05-04 02:36:07 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, regression): mse=1.4430, rmse=1.2012, mae=0.9134, cvrmse=0.8856
2026-05-04 02:36:08 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five_mpnet family=lightgbm target=log_roi OOF=cvrmse=0.9781, mae=0.9355, mse=1.7369, rmse=1.3179 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:36:08 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five_mpnet family=lightgbm target=roi_gt_1 task=classification
2026-05-04 02:36:08 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 127)
2026-05-04 02:36:23 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.5852 params={'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_samples': 10, 'model__num_leaves': 15}
2026-05-04 02:36:23 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:36:24 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.5724, pr_auc=0.8364, log_loss=0.5574, f1=0.8371
2026-05-04 02:36:25 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.5641, pr_auc=0.8473, log_loss=0.5575, f1=0.8442
2026-05-04 02:36:26 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6011, pr_auc=0.8545, log_loss=0.5494, f1=0.8535
2026-05-04 02:36:26 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.5948, pr_auc=0.8398, log_loss=0.5437, f1=0.8557
2026-05-04 02:36:27 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.5937, pr_auc=0.8573, log_loss=0.5761, f1=0.8351
2026-05-04 02:36:28 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.6568, pr_auc=0.8801, log_loss=0.5164, f1=0.8750
