2026-05-04 02:45:06 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=standalone_positive_union_mpnet_lightgbm dir=runs/phase_4/20260504_0245_standalone_positive_union_mpnet_lightgbm
2026-05-04 02:45:06 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=lightgbm target=log_roi task=regression
2026-05-04 02:45:06 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=regression X.shape=(1199, 92)
2026-05-04 02:45:14 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=regression score=-1.3150 params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:45:14 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=regression
2026-05-04 02:45:14 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, regression): mse=1.3135, rmse=1.1461, mae=0.8542, cvrmse=0.8980
2026-05-04 02:45:14 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, regression): mse=1.7228, rmse=1.3126, mae=0.9491, cvrmse=0.9365
2026-05-04 02:45:14 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, regression): mse=1.6980, rmse=1.3031, mae=0.9275, cvrmse=0.9891
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, regression): mse=1.7928, rmse=1.3390, mae=0.9649, cvrmse=0.9730
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, regression): mse=2.1739, rmse=1.4744, mae=0.9863, cvrmse=1.0795
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, regression): mse=1.3410, rmse=1.1580, mae=0.9106, cvrmse=0.8691
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, regression): mse=2.3847, rmse=1.5443, mae=0.9463, cvrmse=1.1246
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, regression): mse=1.5675, rmse=1.2520, mae=0.9199, cvrmse=0.9501
2026-05-04 02:45:15 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, regression): mse=1.5959, rmse=1.2633, mae=0.9272, cvrmse=0.9619
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, regression): mse=1.8884, rmse=1.3742, mae=0.9993, cvrmse=0.9811
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, regression): mse=1.8966, rmse=1.3772, mae=1.0040, cvrmse=0.9588
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, regression): mse=1.7043, rmse=1.3055, mae=0.9902, cvrmse=0.9742
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, regression): mse=2.2186, rmse=1.4895, mae=0.9418, cvrmse=1.1102
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, regression): mse=1.5325, rmse=1.2379, mae=0.8615, cvrmse=0.9805
2026-05-04 02:45:16 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, regression): mse=1.4373, rmse=1.1989, mae=0.9128, cvrmse=0.8838
2026-05-04 02:45:17 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=lightgbm target=log_roi OOF=cvrmse=0.9781, mae=0.9346, mse=1.7368, rmse=1.3179 inner_best_params={'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:45:17 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=lightgbm target=roi_gt_1 task=classification
2026-05-04 02:45:17 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 92)
2026-05-04 02:45:25 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.6064 params={'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:45:25 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:45:26 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.6087, pr_auc=0.8519, log_loss=0.5201, f1=0.8780
2026-05-04 02:45:26 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.6125, pr_auc=0.8651, log_loss=0.5243, f1=0.8593
2026-05-04 02:45:26 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6087, pr_auc=0.8625, log_loss=0.5204, f1=0.8578
2026-05-04 02:45:26 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6302, pr_auc=0.8672, log_loss=0.5285, f1=0.8492
2026-05-04 02:45:27 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.5721, pr_auc=0.8461, log_loss=0.5661, f1=0.8515
2026-05-04 02:45:27 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.6792, pr_auc=0.8938, log_loss=0.4790, f1=0.8641
2026-05-04 02:45:27 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6081, pr_auc=0.8516, log_loss=0.5382, f1=0.8521
2026-05-04 02:45:28 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.5402, pr_auc=0.8299, log_loss=0.5759, f1=0.8450
2026-05-04 02:45:28 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.6058, pr_auc=0.8765, log_loss=0.5244, f1=0.8550
2026-05-04 02:45:28 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.6101, pr_auc=0.8559, log_loss=0.5289, f1=0.8629
2026-05-04 02:45:28 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.5560, pr_auc=0.8311, log_loss=0.5427, f1=0.8765
2026-05-04 02:45:29 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.5600, pr_auc=0.8432, log_loss=0.5751, f1=0.8550
2026-05-04 02:45:29 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.6586, pr_auc=0.8783, log_loss=0.5041, f1=0.8442
2026-05-04 02:45:29 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.5628, pr_auc=0.8267, log_loss=0.6000, f1=0.7990
2026-05-04 02:45:30 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.6543, pr_auc=0.8919, log_loss=0.4883, f1=0.8747
2026-05-04 02:45:32 | INFO    | src.models.phase4.benchmark | Done: matrix=standalone_positive_union_mpnet family=lightgbm target=roi_gt_1 OOF=auc_roc=0.6160, f1=0.8628, log_loss=0.5110, pr_auc=0.8638 inner_best_params={'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_samples': 30, 'model__num_leaves': 15}
2026-05-04 02:45:32 | INFO    | src.models.phase4.benchmark | Eval: matrix=standalone_positive_union_mpnet family=lightgbm target=roi_gt_2 task=classification
2026-05-04 02:45:32 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=lightgbm task=classification X.shape=(1199, 92)
2026-05-04 02:45:41 | INFO    | src.models.phase4.cv | Inner CV best: family=lightgbm task=classification score=0.6508 params={'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_samples': 30, 'model__num_leaves': 31}
2026-05-04 02:45:41 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=lightgbm task=classification
2026-05-04 02:45:42 | DEBUG   | src.models.phase4.cv | Fold 1/15 done (lightgbm, classification): auc_roc=0.6776, pr_auc=0.7582, log_loss=0.6362, f1=0.7320
2026-05-04 02:45:42 | DEBUG   | src.models.phase4.cv | Fold 2/15 done (lightgbm, classification): auc_roc=0.6091, pr_auc=0.7434, log_loss=0.6785, f1=0.7089
2026-05-04 02:45:42 | DEBUG   | src.models.phase4.cv | Fold 3/15 done (lightgbm, classification): auc_roc=0.6898, pr_auc=0.8228, log_loss=0.6170, f1=0.7416
2026-05-04 02:45:42 | DEBUG   | src.models.phase4.cv | Fold 4/15 done (lightgbm, classification): auc_roc=0.6365, pr_auc=0.7522, log_loss=0.6458, f1=0.7368
2026-05-04 02:45:43 | DEBUG   | src.models.phase4.cv | Fold 5/15 done (lightgbm, classification): auc_roc=0.6409, pr_auc=0.7760, log_loss=0.6579, f1=0.7215
2026-05-04 02:45:43 | DEBUG   | src.models.phase4.cv | Fold 6/15 done (lightgbm, classification): auc_roc=0.6145, pr_auc=0.7537, log_loss=0.6778, f1=0.6972
2026-05-04 02:45:43 | DEBUG   | src.models.phase4.cv | Fold 7/15 done (lightgbm, classification): auc_roc=0.6402, pr_auc=0.7594, log_loss=0.6512, f1=0.7382
2026-05-04 02:45:44 | DEBUG   | src.models.phase4.cv | Fold 8/15 done (lightgbm, classification): auc_roc=0.6424, pr_auc=0.7609, log_loss=0.6546, f1=0.7143
2026-05-04 02:45:44 | DEBUG   | src.models.phase4.cv | Fold 9/15 done (lightgbm, classification): auc_roc=0.5785, pr_auc=0.7224, log_loss=0.6885, f1=0.6854
2026-05-04 02:45:44 | DEBUG   | src.models.phase4.cv | Fold 10/15 done (lightgbm, classification): auc_roc=0.6278, pr_auc=0.7639, log_loss=0.6672, f1=0.6903
2026-05-04 02:45:44 | DEBUG   | src.models.phase4.cv | Fold 11/15 done (lightgbm, classification): auc_roc=0.6206, pr_auc=0.7575, log_loss=0.6632, f1=0.7183
2026-05-04 02:45:45 | DEBUG   | src.models.phase4.cv | Fold 12/15 done (lightgbm, classification): auc_roc=0.6324, pr_auc=0.7713, log_loss=0.6498, f1=0.7081
2026-05-04 02:45:45 | DEBUG   | src.models.phase4.cv | Fold 13/15 done (lightgbm, classification): auc_roc=0.6075, pr_auc=0.7478, log_loss=0.6709, f1=0.6859
2026-05-04 02:45:45 | DEBUG   | src.models.phase4.cv | Fold 14/15 done (lightgbm, classification): auc_roc=0.6562, pr_auc=0.7862, log_loss=0.6263, f1=0.7401
2026-05-04 02:45:46 | DEBUG   | src.models.phase4.cv | Fold 15/15 done (lightgbm, classification): auc_roc=0.5752, pr_auc=0.7090, log_loss=0.7106, f1=0.6795
