2026-05-03 23:41:29 | INFO    | __main__ | Phase 4 benchmark starting: mode=primary
2026-05-03 23:41:29 | INFO    | __main__ | Config: families=('linear', 'histgb', 'random_forest', 'svm_rbf') matrices=('all_five', 'standalone_positive_union') targets=('log_roi', 'roi_gt_1', 'roi_gt_2')
2026-05-03 23:41:29 | INFO    | src.models.phase4.benchmark | Loaded train split: 1199 films (calibration and test held out)
2026-05-03 23:41:29 | INFO    | src.models.phase4.benchmark | Cell start: matrix=all_five family=linear X=(1199, 127)
2026-05-03 23:41:29 | INFO    | src.experiments.save_run | Run started: phase=phase_4 name=all_five_linear dir=runs/phase_4/20260503_2341_all_five_linear
2026-05-03 23:41:29 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=log_roi task=regression
2026-05-03 23:41:29 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=regression X.shape=(1199, 127)
2026-05-03 23:41:31 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=regression score=-1.3422 params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:41:31 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=regression
2026-05-03 23:41:31 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=log_roi OOF=cvrmse=0.9985, mae=0.9474, mse=1.8103, rmse=1.3455 inner_best_params={'model__alpha': np.float64(1000.0)}
2026-05-03 23:41:31 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=roi_gt_1 task=classification
2026-05-03 23:41:31 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 127)
2026-05-03 23:41:32 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.5677 params={'model__C': np.float64(1000.0)}
2026-05-03 23:41:32 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
2026-05-03 23:41:34 | INFO    | src.models.phase4.benchmark | Done: matrix=all_five family=linear target=roi_gt_1 OOF=auc_roc=0.5776, f1=0.7247, log_loss=0.7479, pr_auc=0.8480 inner_best_params={'model__C': np.float64(1000.0)}
2026-05-03 23:41:34 | INFO    | src.models.phase4.benchmark | Eval: matrix=all_five family=linear target=roi_gt_2 task=classification
2026-05-03 23:41:34 | INFO    | src.models.phase4.cv | Inner GridSearchCV: family=linear task=classification X.shape=(1199, 127)
2026-05-03 23:41:35 | INFO    | src.models.phase4.cv | Inner CV best: family=linear task=classification score=0.6149 params={'model__C': np.float64(0.0031622776601683794)}
2026-05-03 23:41:35 | INFO    | src.models.phase4.cv | Repeated outer CV (3x5): family=linear task=classification
